"","SCHOOL_CODE","SCHOOL_NAME","AMPH_ID","AMPH_NAME","PROV_ID","PROV_NAME","REGION_NAME","URBAN_ZONE","AREA_CODE_M6","AREA_NAME_M6","BUREA_CODE","BUREA_NAME","SCHOOL_SIZE","thai_avg","soc_avg","eng_avg","math_avg","sci_avg","thai_sd","soc_sd","eng_sd","math_sd","sci_sd","thai_min","soc_min","eng_min","math_min","sci_min","thai_max","soc_max","eng_max","math_max","sci_max","com1"
"2908","1032030203","บ้านรุน","3214","พนมดงรัก","32","สุรินทร์","ตะวันออกเฉียงเหนือ","SUBURB","3203","สพป.สุรินทร์ เขต 3","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",33.5,30.090909,21.761363,19.886363,24.50909,10.296733,4.813891,5.258368,5.861918,5.104268,14.5,20,13.75,5,16,55.5,41,36.25,30,36.8,-1.47689367744817
"2909","1030070165","บ้านประสุข","3017","ชุมพวง","30","นครราชสีมา","ตะวันออกเฉียงเหนือ","SUBURB","3007","สพป.นครราชสีมา เขต 7","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",47.222222,33.333333,21.805555,23.888888,26.977777,15.477781,4.830458,4.25372,10.348853,6.791134,17,24,16.25,10,18.8,71.5,40,28.75,40,40,0.150188275021571
"2910","1032010183","บ้านตรึม (ตรึมวิทยานุเคราะห์)","3209","ศีขรภูมิ","32","สุรินทร์","ตะวันออกเฉียงเหนือ","SUBURB","3201","สพป.สุรินทร์ เขต 1","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",35.477777,29.577777,21.805555,17.055555,25.911111,11.566695,5.931047,5.274121,6.418049,6.212182,11.5,16,8.75,5,14.8,58.5,40,31.25,37.5,42.8,-1.43096336321676
"2911","1066012001","พิจิตรพิทยาคม","6601","เมืองพิจิตร","66","พิจิตร","กลาง","URBAN","10141","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 41","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",52.025735,36.431372,32.900366,37.286063,33.204901,13.16049,7.470217,13.804633,20.490623,9.704963,16.5,18,11.25,5,4.8,87,58,86.25,97.5,71.2,2.712479779608
"2912","1066012002","หัวดงรัฐชนูปถัมภ์","6601","เมืองพิจิตร","66","พิจิตร","กลาง","URBAN","10141","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 41","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",35.156862,32.274509,23.137254,22.058823,27.411764,11.450445,5.365392,6.780763,8.962146,7.026385,16.5,23,11.25,5,9.6,60,47,40,55,40.8,-0.623837540969834
"2913","1066012003","วังกรดพิทยา","6601","เมืองพิจิตร","66","พิจิตร","กลาง","URBAN","10141","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 41","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",41.8,30.64,23.5,21,23.84,13.411934,5.747208,5.863019,7.745966,6.64915,17,21,12.5,7.5,8,70.5,43,33.75,40,38,-0.871458881796208
"2914","1066012004","เมธีพิทยา","6601","เมืองพิจิตร","66","พิจิตร","กลาง","URBAN","10141","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 41","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",41.8,31.9,24.75,20.75,25.28,11.189727,7.327346,6.093028,6.128825,7.54676,23,21,17.5,12.5,16.4,55.5,42,38.75,30,37.2,-0.506357323341231
"2915","1066012005","สระหลวงพิทยาคม","6601","เมืองพิจิตร","66","พิจิตร","กลาง","URBAN","10141","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 41","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",44.200636,32.044585,24.578025,22.181528,27.70191,13.248589,6.424821,7.257978,9.810004,8.157672,10.5,13,10,5,9.6,73.5,52,52.5,52.5,56.4,-0.0461909170646892
"2916","1184100053","พันธศึกษา","8417","พุนพิน","84","สุราษฎร์ธานี","ใต้","SUBURB",NA,NA,"11","สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","S",26.611111,26,20.972222,19.722222,20.933333,6.927312,5.354126,6.991507,4.479032,5.995553,17.5,14,10,10,11.2,41,34,31.25,27.5,33.2,-2.80146391216497
"2917","3042200202","เทศบาลวังสะพุง 2 บ้านบุ่งไสล่","4209","วังสะพุง","42","เลย","ตะวันออกเฉียงเหนือ","SUBURB","3042","ท้องถิ่นจังหวัดเลย","30","กรมส่งเสริมการปกครองท้องถิ่น","M",32.548387,30.564516,21.955645,18.91129,24.96129,8.870806,5.401974,5.713334,7.454444,6.395346,16.5,15,11.25,5,11.6,53.5,43,37.5,37.5,40,-1.4595278298679
"2918","1044012001","สารคามพิทยาคม","4401","เมืองมหาสารคาม","44","มหาสารคาม","ตะวันออกเฉียงเหนือ","URBAN","10126","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 26","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",54.621597,37.645454,38.027272,38.713636,32.920508,13.899389,7.783652,16.18081,22.794882,10.568288,6.5,14,6.25,2.5,10.4,86.5,64,91.25,100,74.8,3.32764168483371
"2919","1044012002","ผดุงนารี","4401","เมืองมหาสารคาม","44","มหาสารคาม","ตะวันออกเฉียงเหนือ","URBAN","10126","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 26","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",46.930473,35.746312,27.617994,26.356932,29.290855,12.26219,6.775846,9.260791,12.419453,7.217532,7.5,19,8.75,2.5,8.4,78,58,68.75,75,55.2,1.11720057993497
"2920","1044012003","มหาวิชานุกูล","4401","เมืองมหาสารคาม","44","มหาสารคาม","ตะวันออกเฉียงเหนือ","URBAN","10126","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 26","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",36.607142,29,19.464285,15.714285,22.485714,11.06019,5.385164,5.604412,6.298282,6.405673,19,21,11.25,7.5,11.2,60.5,38,31.25,27.5,38.4,-1.9862096389875
"2921","1052022002","สบปราบพิทยาคม","5211","สบปราบ","52","ลำปาง","เหนือ","SUBURB","10135","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 35","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",38.969565,32.732758,24.859913,21.853448,26.996551,12.888533,5.480938,6.995944,8.395662,7.132927,15,16,10,5,14.4,68,48,63.75,50,47.2,-0.316560149247324
"2922","1052022003","เกาะคาวิทยาคม","5203","เกาะคา","52","ลำปาง","เหนือ","SUBURB","10135","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 35","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",44.384615,33,25.192307,24.615384,26.523076,10.232215,4.62435,6.556818,8.816841,5.03131,23,21,15,7.5,16.8,67,39,37.5,40,32,0.121750416090014
"2923","1052022004","เสริมงามวิทยาคม","5204","เสริมงาม","52","ลำปาง","เหนือ","SUBURB","10135","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 35","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",48.496062,35.031496,29.911417,29.074803,31.159055,15.935218,7.923787,11.826524,17.271577,10.229103,12.5,18,12.5,5,14,85.5,60,75,95,70.8,1.55891841732208
